occupation,industry,domain,dataset
DANCER,DANCE,ARTS,OGC
ARCHITECT,DESIGN,ARTS,OGC
"COMIC ARTIST",DESIGN,ARTS,OGC
DESIGNER,DESIGN,ARTS,OGC
"FASHION DESIGNER",DESIGN,ARTS,OGC
"GAME DESIGNER",DESIGN,ARTS,OGC
ACTOR,"FILM AND THEATRE",ARTS,OGC
COMEDIAN,"FILM AND THEATRE",ARTS,OGC
"FILM DIRECTOR","FILM AND THEATRE",ARTS,OGC
ARTIST,"FINE ARTS",ARTS,OGC
PAINTER,"FINE ARTS",ARTS,OGC
PHOTOGRAPHER,"FINE ARTS",ARTS,OGC
SCULPTOR,"FINE ARTS",ARTS,OGC
COMPOSER,MUSIC,ARTS,OGC
CONDUCTOR,MUSIC,ARTS,OGC
MUSICIAN,MUSIC,ARTS,OGC
SINGER,MUSIC,ARTS,OGC
BUSINESSPERSON,BUSINESS,"BUSINESS & LAW",OGC
PRODUCER,BUSINESS,"BUSINESS & LAW",OGC
LAWYER,LAW,"BUSINESS & LAW",OGC
ASTRONAUT,EXPLORERS,EXPLORATION,OGC
EXPLORER,EXPLORERS,EXPLORATION,OGC
HISTORIAN,HISTORY,HUMANITIES,OGC
CRITIC,LANGUAGE,HUMANITIES,OGC
JOURNALIST,LANGUAGE,HUMANITIES,OGC
LINGUIST,LANGUAGE,HUMANITIES,OGC
WRITER,LANGUAGE,HUMANITIES,OGC
PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC
DIPLOMAT,GOVERNMENT,INSTITUTIONS,OGC
JUDGE,GOVERNMENT,INSTITUTIONS,OGC
NOBLEMAN,GOVERNMENT,INSTITUTIONS,OGC
POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC
"PUBLIC WORKER",GOVERNMENT,INSTITUTIONS,OGC
"MILITARY PERSONNEL",MILITARY,INSTITUTIONS,OGC
PILOT,MILITARY,INSTITUTIONS,OGC
"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC
"SOCIAL ACTIVIST",ACTIVISM,"PUBLIC FIGURE",OGC
COMPANION,COMPANIONS,"PUBLIC FIGURE",OGC
CELEBRITY,"MEDIA PERSONALITY","PUBLIC FIGURE",OGC
CHEF,"MEDIA PERSONALITY","PUBLIC FIGURE",OGC
MAGICIAN,"MEDIA PERSONALITY","PUBLIC FIGURE",OGC
MODEL,"MEDIA PERSONALITY","PUBLIC FIGURE",OGC
"PORNOGRAPHIC ACTOR","MEDIA PERSONALITY","PUBLIC FIGURE",OGC
PRESENTER,"MEDIA PERSONALITY","PUBLIC FIGURE",OGC
EXTREMIST,OUTLAWS,"PUBLIC FIGURE",OGC
MAFIOSO,OUTLAWS,"PUBLIC FIGURE",OGC
PIRATE,OUTLAWS,"PUBLIC FIGURE",OGC
"COMPUTER SCIENTIST","COMPUTER SCIENCE","SCIENCE & TECHNOLOGY",OGC
ENGINEER,ENGINEERING,"SCIENCE & TECHNOLOGY",OGC
INVENTOR,INVENTION,"SCIENCE & TECHNOLOGY",OGC
MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC
STATISTICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC
PHYSICIAN,MEDICINE,"SCIENCE & TECHNOLOGY",OGC
ARCHAEOLOGIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
ASTRONOMER,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
BIOLOGIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
CHEMIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
GEOLOGIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
ANTHROPOLOGIST,"SOCIAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
ECONOMIST,"SOCIAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
GEOGRAPHER,"SOCIAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
"POLITICAL SCIENTIST","SOCIAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
PSYCHOLOGIST,"SOCIAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
SOCIOLOGIST,"SOCIAL SCIENCES","SCIENCE & TECHNOLOGY",OGC
ATHLETE,"INDIVIDUAL SPORTS",SPORTS,OGC
BOXER,"INDIVIDUAL SPORTS",SPORTS,OGC
CHESSMASTER,"INDIVIDUAL SPORTS",SPORTS,OGC
CYCLIST,"INDIVIDUAL SPORTS",SPORTS,OGC
GOLFER,"INDIVIDUAL SPORTS",SPORTS,OGC
GYMNAST,"INDIVIDUAL SPORTS",SPORTS,OGC
"MARTIAL ARTS","INDIVIDUAL SPORTS",SPORTS,OGC
MOUNTAINEER,"INDIVIDUAL SPORTS",SPORTS,OGC
"RACECAR DRIVER","INDIVIDUAL SPORTS",SPORTS,OGC
SKATER,"INDIVIDUAL SPORTS",SPORTS,OGC
SKIER,"INDIVIDUAL SPORTS",SPORTS,OGC
SNOOKER,"INDIVIDUAL SPORTS",SPORTS,OGC
SWIMMER,"INDIVIDUAL SPORTS",SPORTS,OGC
"TENNIS PLAYER","INDIVIDUAL SPORTS",SPORTS,OGC
WRESTLER,"INDIVIDUAL SPORTS",SPORTS,OGC
"AMERICAN FOOTBALL PLAYER","TEAM SPORTS",SPORTS,OGC
"BASEBALL PLAYER","TEAM SPORTS",SPORTS,OGC
"BASKETBALL PLAYER","TEAM SPORTS",SPORTS,OGC
COACH,"TEAM SPORTS",SPORTS,OGC
CRICKETER,"TEAM SPORTS",SPORTS,OGC
"HOCKEY PLAYER","TEAM SPORTS",SPORTS,OGC
REFEREE,"TEAM SPORTS",SPORTS,OGC
"SOCCER PLAYER","TEAM SPORTS",SPORTS,OGC
